Transportation and Logistics,the Analysis of Transportation and Logistics,Negative Linear
Distance traveled (miles),Cost per mile ($)
1.0,5.0
32.22,4.9
63.44,4.82
94.66,4.7
125.88,4.43
157.09,4.3
188.31,4.53
219.53,4.03
250.75,3.93
281.97,3.82
313.19,3.62
344.41,3.6
375.62,3.25
406.84,3.32
438.06,3.44
469.28,2.93
500.5,2.98
531.72,2.69
562.94,2.53
594.16,2.37
625.38,2.3
656.59,2.08
687.81,1.95
719.03,1.86
750.25,1.95
781.47,1.55
812.69,1.49
843.91,1.29
875.12,1.23
906.34,1.03
937.56,0.91
968.78,0.91
1000.0,0.5
