Agriculture and Food Production,the Correlation of Agriculture and Food Production,U-shape
Farm size (hectares),Crop yield (tons/hectare)
1.0,9.36
15.48,10.0
29.96,9.09
44.43,9.23
58.91,8.32
73.39,7.98
87.87,7.99
102.35,5.68
116.83,6.56
131.3,6.29
145.78,5.0
160.26,6.83
174.74,4.39
189.22,5.47
203.7,3.33
218.17,4.52
232.65,3.32
247.13,2.29
261.61,4.21
276.09,2.31
290.57,2.81
305.04,3.5
319.52,2.11
334.0,3.52
348.48,2.93
362.96,2.57
377.43,2.27
391.91,1.56
406.39,2.06
420.87,2.26
435.35,1.68
449.83,2.41
464.3,2.32
478.78,3.43
493.26,1.21
507.74,2.36
522.22,1.85
536.7,2.64
551.17,3.65
565.65,2.39
580.13,2.38
594.61,1.92
609.09,1.0
623.57,2.55
638.04,2.38
652.52,1.84
667.0,3.09
681.48,1.88
695.96,2.23
710.43,2.9
724.91,1.24
739.39,1.22
753.87,2.97
768.35,4.14
782.83,3.67
797.3,5.27
811.78,4.32
826.26,4.89
840.74,4.87
855.22,6.25
869.7,4.81
884.17,7.25
898.65,7.72
913.13,6.65
927.61,6.92
942.09,9.19
956.57,8.52
971.04,8.71
985.52,9.54
1000.0,8.4
