Agriculture and Food Production,the Analysis of Agriculture and Food Production,Random
Pest control spending ($/hectare),Crop yield (tons/hectare)
10.0,5.69
16.45,1.45
22.89,6.2
29.34,8.57
35.79,7.63
42.24,5.3
48.68,3.76
55.13,4.1
61.58,8.93
68.03,3.44
74.47,6.18
80.92,5.44
87.37,5.87
93.82,5.83
100.26,9.5
106.71,7.65
113.16,6.77
119.61,4.04
126.05,7.44
132.5,7.79
138.95,9.52
145.39,2.42
151.84,5.1
158.29,8.13
164.74,5.13
171.18,8.14
177.63,5.07
184.08,6.88
190.53,4.31
196.97,4.62
203.42,2.57
209.87,2.34
216.32,5.71
222.76,3.61
229.21,7.35
235.66,9.5
242.11,6.93
248.55,6.6
255.0,3.09
261.45,7.19
267.89,6.16
274.34,6.44
280.79,5.65
287.24,9.83
293.68,8.79
300.13,8.13
306.58,3.43
313.03,6.62
319.47,3.29
325.92,3.46
332.37,6.32
338.82,8.87
345.26,4.02
351.71,9.31
358.16,3.18
364.61,2.3
371.05,9.27
377.5,2.0
383.95,9.06
390.39,6.29
396.84,9.27
403.29,5.67
409.74,3.55
416.18,5.72
422.63,7.56
429.08,2.54
435.53,6.66
441.97,1.0
448.42,5.97
454.87,5.89
461.32,10.0
467.76,3.07
474.21,7.98
480.66,2.62
487.11,6.15
493.55,7.29
500.0,3.05
