Agriculture and Food Production,Fertilizer Price,$/ton
trend,volatile_falling,periodic_stable,stable_falling,stable_rising,exponential_falling,volatile_rising
Year,Lumina Grain,GeoNuts,Skyberry Pulp,AquaBeans,Zephyr Cotton,Terran Spice Mix
1993,279.43,299.86,297.59,303.76,302.91,329.13
1994,272.91,352.95,296.64,324.96,261.76,320.84
1995,252.7,344.68,278.16,334.5,234.22,349.42
1996,233.4,252.22,285.67,354.64,219.88,345.33
1997,217.83,214.29,267.62,363.94,197.27,350.75
1998,214.34,296.64,246.76,386.43,156.67,428.21
1999,166.77,359.06,237.01,394.55,154.05,443.34
2000,153.4,352.12,231.72,405.16,138.62,490.33
2001,169.06,252.49,222.04,428.25,132.93,508.68
2002,122.82,225.7,216.8,430.84,117.8,477.11
2003,128.51,296.27,212.8,445.62,117.64,532.65
2004,104.76,375.92,207.58,471.95,88.1,566.74
2005,109.04,360.85,185.01,473.7,86.79,604.19
2006,64.6,239.69,179.38,492.35,74.4,597.16
2007,54.91,222.98,175.01,509.49,66.57,626.36
2008,20.59,294.45,162.81,528.1,63.81,663.84
2009,22.03,378.38,142.58,541.95,45.96,675.31
2010,6.87,347.04,142.13,549.55,45.95,685.47
2011,3.0,263.99,136.32,568.81,40.98,716.74
2012,3.0,229.78,126.56,590.67,34.89,768.13
2013,3.0,302.64,114.43,602.72,34.45,784.3
2014,3.0,359.22,99.11,611.11,36.48,817.81
2015,3.0,340.64,116.89,629.95,27.15,835.93
2016,3.0,255.59,101.11,645.92,19.16,825.83
2017,3.0,227.14,81.23,663.1,18.89,874.59
2018,3.0,288.8,72.74,675.07,33.89,927.17
2019,3.0,377.21,68.41,687.93,25.38,904.79
