Sports and Entertainment,Social Media Followers,followers
trend,stable_rising,stable_rising
Year,@CrimsonCometsOfficial,@NovaGamesLive
1990,9979748.44,7040718.13
1991,11365163.38,7582835.1
1992,10605615.96,7794548.83
1993,13042358.09,7887324.8
1994,12456704.46,8315049.34
1995,12515131.73,9079575.27
1996,12866807.69,9417535.96
1997,13823005.5,9501159.86
1998,13841503.76,10110184.74
1999,14386676.97,10368025.81
2000,15247719.29,10765938.41
2001,15129086.97,10686303.24
2002,16533069.56,11533238.1
2003,16556431.56,11616316.34
2004,17585024.32,12099913.42
2005,17970468.05,12797955.54
2006,18238041.37,12819060.02
2007,18503715.84,12485017.55
2008,19488179.66,13295690.32
2009,19981101.09,13681632.48
2010,20153572.54,14406826.68
2011,20990894.24,14493599.97
2012,21377503.42,14944667.34
2013,21906937.39,15430576.52
2014,22322039.88,15739201.39
2015,22361628.68,16016030.95
2016,23984735.38,16570242.66
2017,23976204.92,16507890.74
