Sports and Entertainment,Stadium Attendance,tickets/session
trend,stable_rising,stable_rising,single_peak
Year,Ironwood Classic,Crimson Clash,Starfall Championship
1960,45877.57,30813.39,51468.38
1961,49599.94,31219.39,53955.77
1962,52523.33,31933.81,57597.25
1963,52180.46,32937.59,60144.07
1964,57180.48,35060.17,63409.94
1965,58108.67,37100.36,64466.41
1966,60744.97,39458.35,64074.81
1967,62303.0,40026.26,65003.73
1968,65571.55,42383.84,63056.2
1969,66457.11,44074.77,60038.55
1970,67872.5,44906.15,57198.74
1971,73508.98,45855.32,54911.69
1972,75104.46,48622.23,50949.29
