Sports and Entertainment,Stadium Attendance,tickets/session
trend,stable_rising,stable_rising,single_valley,bimodal_peak
Year,Crimson Clash,Starfall Championship,Echo Bowl,Nova Games
1974,23838.37,47130.01,46983.85,54252.83
1975,23716.3,49363.74,45963.8,56185.7
1976,25971.92,51371.94,43959.94,58702.44
1977,27321.42,52534.21,41128.95,62388.98
1978,27767.32,56088.66,38769.26,73601.71
1979,30278.2,58923.47,33929.44,94168.7
1980,30956.35,61635.75,31288.98,123538.21
1981,32284.43,62968.09,25786.69,152572.18
1982,31192.97,66595.28,22528.71,177603.17
1983,33188.52,69823.62,18759.86,187866.36
1984,34678.44,69396.14,15015.2,179981.8
1985,37028.8,74590.0,13224.69,155067.28
1986,38205.01,75896.79,13013.95,128794.84
1987,39175.91,78225.19,13786.22,108032.14
1988,40269.57,79411.96,15531.88,99997.29
1989,40044.79,84104.56,19333.41,101063.14
1990,42315.84,85374.96,23180.3,111721.75
1991,43779.58,84914.81,27045.18,125683.75
1992,45605.73,89006.49,30558.21,137284.98
1993,45221.66,91698.94,35227.7,141205.45
1994,46933.82,93246.71,39139.83,136657.51
1995,48672.68,97072.69,41809.22,124821.56
1996,49370.62,97146.29,44202.54,110180.56
1997,50347.39,103306.77,45888.21,92516.71
1998,51250.98,105720.43,47358.13,79411.25
