Sports and Entertainment,Fan Engagement,index
trend,stable_rising,periodic_stable,stable_falling,stable_rising
Year,Ironwood Fanatics,Golden Enthusiasts,Veridian Followers,Crimson Faithful
1985,40.14,69.54,75.7,53.95
1986,41.89,87.19,73.19,57.67
1987,44.06,81.25,73.92,60.29
1988,45.92,59.4,69.34,63.94
1989,48.36,55.43,67.8,66.84
1990,51.01,71.5,65.82,68.73
1991,52.65,87.04,63.05,70.22
1992,55.13,80.19,63.08,75.14
1993,56.97,57.68,60.06,78.0
1994,58.62,50.38,57.98,80.87
1995,60.64,71.35,54.02,82.39
1996,62.83,86.72,50.82,86.53
1997,66.15,80.44,48.86,88.87
1998,66.67,60.33,46.8,91.79
